Feature	Gain	Cover	Frequency
mcuentas_saldo_lag1	0.00394792017872587	0.00711427812921655	0.00798152570946895
mrentabilidad_lag1	0.00391155661346779	0.00313229445694155	0.00734054509693734
Master_mfinanciacion_limite	0.00389369994405369	0.00455608047265959	0.00733176454060129
cliente_antiguedad	0.00386292770366653	0.00408371270485193	0.00820982017420624
Visa_fultimo_cierre	0.00379477680160363	0.00440281024528889	0.00710347007586401
Visa_mpagominimo_lag1	0.00379031587286066	0.00518895301288976	0.00696298117448722
chomebanking_trx_delta1	0.00373770490071512	0.00630776999937863	0.00738444787861759
cproductos	0.00371927321122087	0.0065441191957456	0.00700688395616746
mcaja_ahorro_dolares_lag1	0.00347409181765032	0.00414476836313302	0.00622541444225906
ccomisiones_mantenimiento_delta1	0.00339424703525208	0.0052228794335026	0.00145757235178421
mcomisiones_otras	0.00337498381953589	0.00365148079698568	0.00528589491430177
Visa_mpagospesos_delta1	0.00335900869996388	0.00484082158100017	0.00718249508288845
mtransferencias_recibidas_lag1	0.00332500085964845	0.0055367238048065	0.00640102556898005
Visa_msaldototal	0.00315746859025688	0.00228702411495686	0.00390734756954201
Master_fultimo_cierre_lag1	0.00312350228269981	0.00411361948286302	0.00616395054790672
Visa_mpagospesos	0.00311844037255083	0.00506230023601565	0.00656785613936499
chomebanking_trx_lag1	0.00311311238512839	0.00320100693828935	0.00676102837875808
Master_mfinanciacion_limite_lag1	0.00306277276005388	0.00493602999784734	0.00551418937903906
Visa_Finiciomora	0.00305966546364765	0.00594287822673847	0.00129952233773532
Visa_cconsumos_lag1	0.00305092786119938	0.00440236698736898	0.00576004495644844
Visa_mconsumospesos	0.0029766456332784	0.00279286065048615	0.00638346445630795
Visa_mpagominimo_delta1	0.00296335879843101	0.00325965074975419	0.00534735880865412
ccomisiones_mantenimiento	0.00295108103874376	0.00283723023994313	0.00123805844338297
mpasivos_margen_delta1	0.00286381955268303	0.00370564999287241	0.00636590334363585
Visa_mfinanciacion_limite_lag1	0.00284710587839983	0.00277209559808811	0.00513662545658893
mcomisiones	0.00284517469462434	0.00247663345201562	0.00496101432986794
Master_fultimo_cierre	0.00282984757794388	0.00294553823382505	0.00586541163248103
Visa_mconsumospesos_lag1	0.002820600415886	0.00264274713312826	0.00560199494239955
ccomisiones_otras	0.0027879105048612	0.00487217183773058	0.00514540601292498
thomebanking	0.00278724945884316	0.00193598068756682	0.00155415847148075
mcaja_ahorro_dolares	0.00278140649367276	0.00552736117763896	0.00550540882270301
mpayroll_lag1	0.00267387445876161	0.0066902370365976	0.00436393649901658
