fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	bagging_fraction	min_gain_to_split	ganancia	iteracion
20220603 001413	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	32	TRUE	0.220295995551343	0.644627044179166	6449	735	0.0279784376873135	50.2807841539228	68.5016984598608	0.74095721718105	0.0113387669853983	10975000	13
20220603 001422	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	25	TRUE	0.206757714951915	0.483287957859122	7674	117	0.0249545008008782	89.7891731518838	23.4027930625921	0.311045101384581	0.0406872978489846	9403000	14
20220603 001429	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	17	TRUE	0.299728289186864	0.279052126361057	3225	678	0.0263021800495658	74.2113962640158	12.011105520004	0.14075148885604	0.0227477981689153	9123000	15
20220603 001440	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	33	TRUE	0.114229693115728	0.578361548514416	125	236	0.0214144556990639	25.0894201408503	48.4760820238282	0.883680716493271	0.0688833198315697	11691000	16
20220603 001446	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	35	TRUE	0.15685856396313	0.811787586897198	7876	800	0.0126328408490668	78.3182988221395	9.16768031634597	0.803216362481989	0.0328013987012091	10877000	17
20220603 001455	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	40	TRUE	0.228722916019162	0.568234124138123	665	409	0.0145533012269341	37.2848586476822	82.2737724022267	0.217208041867707	0.0948650187605526	12197000	18
20220603 001504	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	70	TRUE	0.118752344859725	0.876943511614162	2286	398	0.0413489764129972	64.2165596661572	91.2802165412965	0.389050760351691	0.0470422689961852	3252000	19
20220603 001523	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	132	TRUE	0.0871083732814036	0.242470713280555	4200	521	0.0233705697139225	0.682093605347392	38.8049447482141	0.371922565203729	0.0620537215119693	12327000	20
20220603 001536	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	1	TRUE	0.0490195751538138	0.363496770777015	724	567	0.0494558585954278	71.4317006414704	62.8927408361859	0.0244509023420202	0.0861389725792688	0	21
20220603 001541	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	12	TRUE	0.291521565694582	0.773638472695731	6727	43	0.00838262878613831	11.266604224996	17.240813250343	0.839866920296724	0.0483385269685532	11351000	22
20220603 001551	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	84	TRUE	0.0513240644353209	0.688982373098325	7151	247	0.0178738912024764	86.7893801335918	77.6235595908171	0.613898395858188	0.055619104614947	10844000	23
20220603 001559	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	20	TRUE	0.19709652661527	0.320919550132627	1346	292	0.0102702049610175	96.4141955159398	87.7305469980153	0.975544493451404	0.0156113364276243	11487000	24
20220603 001605	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	1	TRUE	0.16621742241505	0.608856345438916	396	87	0.0405991824861202	85.4821894492488	3.6134010193766	0.540600983102599	0.0122877144649974	0	25
20220603 001627	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	1	TRUE	0.0238698995799576	0.504043601691309	7495	711	0.0307181565543201	99.7452402299839	15.3921254328452	0.120344671782934	0.0757009474105435	0	26
20220603 001652	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	181	TRUE	0.03936664765442	0.338739506657132	2674	861	0.0190458162779881	81.2634272229237	80.040327175003	0.645416001905687	0.0975436398041784	10988000	27
20220603 001657	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	30	TRUE	0.282972615189695	0.918796531447313	5519	1022	0.0154564949238125	54.9855291326013	95.6916739588552	0.523361458921701	0.0787278953937348	11411000	28
20220603 001724	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	194	TRUE	0.0801038241571384	0.38057262367155	1931	578	0.0454976185736423	6.36663689769598	85.1765283706805	0.48661282595842	0.00843896855547792	8876000	29
20220603 001732	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	49	TRUE	0.272155117000091	0.200674654615836	5154	932	0.0110427404957052	19.7927568592907	6.27958676519079	0.0293264574203123	0.070403591727023	11337000	30
20220603 001807	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	493	TRUE	0.0278215984031299	0.970538988719798	5015	970	0.0430213832442489	9.82774683313134	31.8665493822967	0.171801106454546	0.0376197994502727	8701000	31
