fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 212152	-0.462128791449268	1724	416	11	5	10338000	52
20220520 212305	-0.347014846190245	1798	528	18	5	10352000	53
20220520 212415	-0.748717799991433	3008	473	18	5	9849000	54
20220520 212519	-0.57581690906152	1890	942	18	5	9737000	55
20220520 212607	-0.365582874440069	3289	354	6	5	9549000	56
20220520 212646	-0.827252032793687	6857	885	4	5	8342000	57
20220520 212800	-0.135838426354381	3537	199	12	5	9462000	58
20220520 212900	-0.796381564619737	3944	1846	20	5	9184000	59
20220520 213011	-0.289187405620179	1774	392	11	5	10205000	60
20220520 213117	-0.442237728203899	1931	609	9	5	10315000	61
20220520 213228	-0.879715117145235	1877	4	9	5	10055000	62
20220520 213343	-0.437651257092414	2228	437	16	5	10101000	63
20220520 213449	-0.365888647626421	3904	783	18	5	9503000	64
20220520 213601	-0.18638478938073	1956	518	18	5	10159000	65
20220520 213724	-0.508262418530693	1720	203	20	5	10047000	66
20220520 213754	0.0996203715621703	471	16	6	5	0	67
20220520 213825	-0.0143774665728866	4210	632	3	5	8437000	68
20220520 213917	-0.0380045563667615	1947	1	6	5	8573000	69
20220520 214024	-0.0693655946249936	3006	417	20	5	9774000	70
20220520 214128	-0.0431294658852148	1963	381	10	5	10076000	71
20220520 214229	-0.221008123353936	2122	1059	17	5	9637000	72
20220520 214353	-0.367931969929027	1554	5	13	5	10068000	73
20220520 214507	-0.188084233453597	1811	356	13	5	10297000	74
20220520 214637	-0.648499805789854	1920	57	14	5	9138000	75
20220520 214741	-0.362099221396659	1412	681	10	5	9847000	76
20220520 214843	-0.489659639333206	1870	2	8	5	9880000	77
20220520 215005	-0.99958145677338	2499	1	13	5	9796000	78
20220520 215116	-0.804224523476673	3790	191	13	5	9462000	79
20220520 215211	-0.504204369338475	3983	1990	18	5	9231000	80
20220520 215407	-0.999914911190845	660	1	20	5	8416000	81
20220520 215453	-0.920900977945682	2416	2	6	5	9468000	82
20220520 215557	-0.33235249943111	2911	427	11	5	9773000	83
20220520 215651	-0.435374088604947	62	31	7	5	9675000	84
20220520 215741	-0.999583844841345	7994	1994	9	5	8127000	85
20220520 215846	-0.41788481472738	1569	605	20	5	10531000	86
20220520 215927	-0.911117636509907	2991	1493	7	5	9209000	87
20220520 220020	-0.472036340867383	1768	612	19	5	10513000	88
20220520 220057	-0.535118348512464	7999	654	5	5	8127000	89
20220520 220153	-0.0609008210435127	2108	267	12	5	9888000	90
20220521 013530	-0.388828260691013	1424	1	20	5	9957000	91
20220521 013628	-0.126289953724308	3082	857	17	5	9700000	92
20220521 013708	-0.999939677007079	5494	139	7	5	8991000	93
20220521 013756	-0.0148821821676211	3231	561	20	5	9969000	94
20220521 013841	-0.240780227356956	1761	617	9	5	10513000	95
20220521 013913	-0.031480937059692	1003	497	5	5	9906000	96
20220521 014003	-0.507734346482097	1320	657	15	5	10264000	97
20220521 014050	-0.692111194729412	1754	876	20	5	9468000	98
20220521 014210	-0.845519480361706	11	1	16	5	8990000	99
20220521 014309	-0.236600325683922	1910	2	12	5	10504000	100
20220521 014345	-0.497315556291622	1981	989	6	5	9751000	101
20220521 014457	-0.598796549585552	7318	2	20	5	7985000	102
20220521 014540	-0.243222238653164	4388	542	9	5	9906000	103
20220521 014625	-0.999460868973485	2090	1031	10	5	9859000	104
20220521 014708	-0.343651476794181	3704	1852	20	5	9180000	105
20220521 014831	-0.167227225842506	2255	1	20	5	9670000	106
20220521 014909	-0.475219460334006	4290	617	7	5	9906000	107
20220521 014957	-0.213696553166485	1931	613	12	5	10317000	108
20220521 015037	-0.99982340695714	6143	1989	20	5	8899000	109
20220521 015128	-0.455780120415161	1096	544	19	5	9782000	110
20220521 015212	-0.761251974482578	5843	807	17	5	9181000	111
20220521 015259	-0.506561196878813	2313	612	14	5	10057000	112
20220521 015334	-0.276986514610842	4092	847	6	5	9781000	113
20220521 015424	-0.396033829204971	1789	744	20	5	9573000	114
20220521 015516	-0.431557829038212	1558	418	18	5	10503000	115
20220521 015634	-0.842134993822611	4317	1	20	5	9532000	116
