max_depth	min_bucket	min_split	peso_error	ganancia_promedio
6	475	1500	120	11256000
6	475	1450	5	10515333
6	475	1450	10	9653333
6	475	1450	59	10978000
6	475	1450	60	10978000
6	475	1450	120	11256000
6	475	1400	5	10515333
6	475	1400	10	9641333
6	475	1400	59	10978000
6	475	1400	60	10978000
6	475	1400	120	11256000
6	475	1350	5	10515333
6	475	1350	10	9697333
6	475	1350	59	11132000
6	475	1350	60	11132000
6	475	1350	120	11256000
6	475	1300	5	10515333
6	475	1300	10	9697333
6	475	1300	59	11132000
6	475	1300	60	11132000
6	475	1300	120	11161333
6	475	1250	5	10620000
6	475	1250	10	9738000
6	475	1250	59	11142000
6	475	1250	60	11142000
6	475	1250	120	11173333
6	450	1550	5	10456000
6	450	1550	10	9582667
6	450	1550	59	10861333
6	450	1550	60	10861333
6	450	1550	120	11249333
6	450	1500	5	10456000
6	450	1500	10	9582667
6	450	1500	59	10861333
6	450	1500	60	10861333
6	450	1500	120	11273333
6	450	1450	5	10456000
6	450	1450	10	9582667
6	450	1450	59	10861333
6	450	1450	60	10861333
6	450	1450	120	11273333
6	450	1400	5	10456000
6	450	1400	10	9570667
6	450	1400	59	10861333
6	450	1400	60	10861333
6	450	1400	120	11273333
6	450	1350	5	10456000
6	450	1350	10	9626667
6	450	1350	59	10876000
6	450	1350	60	10876000
6	450	1350	120	11273333
6	450	1300	5	10456000
6	450	1300	10	9626667
6	450	1300	59	10876000
6	450	1300	60	10876000
6	450	1300	120	11178667
6	450	1250	5	10560667
6	450	1250	10	9667333
6	450	1250	59	10886000
6	450	1250	60	10886000
6	450	1250	120	11190667
