fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220601 222448	0	0	0	1	hist	lossguide	256	0	1	0.0997211763777345	0.957618811991552	2	2	0.00833555038684297	227	11172000	36
20220601 222823	0	0	0	1	hist	lossguide	256	0	1	0.0100467230186593	0.864484407123427	4	439	0.00834281556206839	39	12068000	37
20220601 223145	0	0	0	1	hist	lossguide	256	0	1	0.0117513841517092	0.999788213594022	10	238	0.0108734974907416	279	12745000	38
20220601 223516	0	0	0	1	hist	lossguide	256	0	1	0.0101961936652721	0.999899084207246	8	280	0.0118815588980912	148	12641000	39
20220601 223832	0	0	0	1	hist	lossguide	256	0	1	0.0190148347807722	0.865015410656491	10	3	0.0136937584290289	1209	13540000	40
20220601 224110	0	0	0	1	hist	lossguide	256	0	1	0.0101809376733416	0.846809367701446	9	65	0.00847509315355924	32	12077000	41
20220601 224149	0	0	0	1	hist	lossguide	256	0	1	0.0980176132109224	0.822348062141872	10	225	0.0152397465635817	29	12667000	42
20220601 224305	0	0	0	1	hist	lossguide	256	0	1	0.054999564701965	0.998386665467205	10	2	0.0142957681552754	492	12990000	43
20220601 224641	0	0	0	1	hist	lossguide	256	0	1	0.0103861537158882	0.639260928366419	10	33	0.0131218894647346	314	13176000	44
20220601 224714	0	0	0	1	hist	lossguide	256	0	1	0.299843451087809	0.662138802709306	10	2	0.0132164699004009	182	12913000	45
20220601 225245	0	0	0	1	hist	lossguide	256	0	1	0.0101177998828163	0.904859113448825	5	3	0.0131731038952321	2080	13434000	46
20220601 225314	0	0	0	1	hist	lossguide	256	0	1	0.299956615732715	0.95381321474468	4	453	0.01330834151279	5	9985000	47
20220601 225344	0	0	0	1	hist	lossguide	256	0	1	0.299949079087559	0.54344021972497	10	1023	0.0139674474714301	12	11220000	48
20220601 225941	0	0	0	1	hist	lossguide	256	0	1	0.0101638833128536	0.788293477772819	7	2	0.013289373529917	2710	12866000	49
20220601 230011	0	0	0	1	hist	lossguide	256	0	1	0.297338493462649	0.203331302146225	10	2	0.0169445739099735	170	13380000	50
20220601 230037	0	0	0	1	hist	lossguide	256	0	1	0.293100988653404	0.39905164118947	10	2	0.0176632282789665	123	13253000	51
20220601 230351	0	0	0	1	hist	lossguide	256	0	1	0.0100158138377483	0.906861306930318	10	679	0.0134912069564794	193	13146000	52
20220601 230416	0	0	0	1	hist	lossguide	256	0	1	0.299998146327731	0.200124203601012	10	4	0.0235003790746978	38	12260000	53
20220601 230447	0	0	0	1	hist	lossguide	256	0	1	0.25847230529101	0.291974331672009	10	2	0.0140224815726029	162	13312000	54
20220601 230614	0	0	0	1	hist	lossguide	256	0	1	0.0419616965563234	0.20558431082848	10	2	0.0169012365784438	582	13441000	55
