experimento	fecha	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
HT9310_3L	20220619 144005	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0672816104458425	0.490482185914775	637	4307	0.832915671688186	0.63607666267385	0.0526439005252805	0.670460613766303	419	0.0876456108492128	10974	14106000	84
HT9310_3L	20220619 144053	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0906701448085334	0.908281021238527	239	4309	0.261930953041972	0.156162384124474	0.117386303001826	0.107203023594827	199	0.0901886793343463	11082	13998000	85
HT9310_3L	20220619 144124	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0580529331492463	0.331709818418597	765	4343	0.83974302430316	0.923584313876743	0.166750302709935	0.675310246801009	308	0.113369539037841	9638	14482000	86
HT9310_3L	20220619 144306	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0216295810040669	0.755733088156398	699	4226	0.859645561282157	0.57399813260725	0.148277023211912	0.51844713405475	759	0.0909913345021025	11318	14842000	87
HT9310_3L	20220619 144357	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0269360503167107	0.377210606127164	816	3992	0.788693423274964	0.601668941068693	0.317444883306998	0.320886363993155	575	0.0949076063358482	11050	14630000	88
HT9310_3L	20220619 144452	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0287837120019426	0.368781064245783	618	4006	0.972666431196686	0.33794787963156	0.290406291585933	0.762198998053857	667	0.105029741716019	9976	14384000	89
HT9310_3L	20220619 144539	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0661337162637291	0.89163178101854	849	4306	0.828256856291595	0.916914124350042	0.145095759565666	0.756442236339374	235	0.110670869156066	9720	14880000	90
HT9310_3L	20220619 144609	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0587789252352051	0.208756519250237	556	4047	0.989450742871435	0.28122538649108	0.075022596007445	0.191862247185335	425	0.100883110907911	9942	14298000	91
HT9310_3L	20220619 144651	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0848964298582095	0.916801855621155	123	4366	0.554836442141855	0.410477851559515	0.0825646614743672	0.848424989592686	193	0.104769621468774	9862	14858000	92
HT9310_3L	20220619 144745	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0655796088782178	0.762568684981767	685	4256	0.720717676503392	0.773836314092935	0.115513906216371	0.667385618123103	337	0.094350481188065	10766	14554000	93
HT9310_3L	20220619 144915	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.024422625693532	0.540580501715725	632	5032	0.696814783234654	0.661060395493091	0.0757054302222589	0.409113777981467	1038	0.116351762668044	8706	13974000	94
HT9310_3L	20220619 145007	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.036505072044188	0.466324562386604	220	2724	0.923428626077357	0.447654697793393	0.0754017193586485	0.502483503446848	474	0.0931683777035574	10472	14128000	95
