fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220602 174056	0	0	0	1	auto	depthwise	256	0	1	0.299650485534417	0.999575226705465	0	5	0.00834019442126761	28	11775000	76
20220602 174239	0	0	0	1	auto	depthwise	256	0	1	0.299851391378717	0.994832312701465	10	3	0.0113520579673889	18	11982000	77
20220602 230356	0	0	0	1	auto	depthwise	256	0	1	0.010184375474505	0.983594951783942	2	30	0.0120202772987379	109	12490000	78
20220602 230501	0	0	0	1	auto	depthwise	256	0	1	0.299134593318257	0.201714859058332	10	4	0.0234784828628532	49	11824000	79
20220602 230627	0	0	0	1	auto	depthwise	256	0	1	0.299970668931776	0.998459350330767	10	2	0.0118442291504858	33	12219000	80
20220602 230744	0	0	0	1	auto	depthwise	256	0	1	0.250923516375483	0.200083026917347	10	9	0.0113273204925162	19	11367000	81
20220602 232930	0	0	0	1	auto	depthwise	256	0	1	0.010234098184485	0.999262045789584	3	4	0.0120624048568832	279	13113000	82
20220602 233121	0	0	0	1	auto	depthwise	256	0	1	0.29982331743715	0.738254381018818	0	4	0.00833747733869817	15	11840000	83
20220602 233638	0	0	0	1	auto	depthwise	256	0	1	0.0414129094960348	0.224401972134416	10	30	0.0242750244112655	92	11838000	84
20220602 235950	0	0	0	1	auto	depthwise	256	0	1	0.010789466704781	0.998444485641117	10	2	0.0168417087850445	1174	12900000	85
20220603 011502	0	0	0	1	auto	depthwise	256	0	1	0.250991039210139	0.999175073870726	0	30	0.00833696332651318	3	3505000	86
20220603 012003	0	0	0	1	auto	depthwise	256	0	1	0.0294106712760828	0.285529122538857	5	4	0.0172620715439023	239	13251000	87
20220603 012051	0	0	0	1	auto	depthwise	256	0	1	0.299888369525427	0.397110384551465	6	2	0.00839246101685593	33	11484000	88
20220603 012325	0	0	0	1	auto	depthwise	256	0	1	0.124964757731529	0.983402609994397	5	2	0.0250472989964722	90	11774000	89
20220603 012532	0	0	0	1	auto	depthwise	256	0	1	0.299909413775967	0.326495215327736	10	22	0.0225810509227718	7	10212000	90
20220603 013034	0	0	0	1	auto	depthwise	256	0	1	0.0877712664405288	0.999732447394939	10	6	0.0168681906011846	25	13096000	91
20220603 013146	0	0	0	1	auto	depthwise	256	0	1	0.299999061499972	0.62244199712557	8	2	0.01598521787689	50	12597000	92
20220603 013358	0	0	0	1	auto	depthwise	256	0	1	0.243602736703112	0.999804419825673	10	2	0.0239000845491034	85	11789000	93
20220603 013723	0	0	0	1	auto	depthwise	256	0	1	0.299539174208555	0.973955520763369	10	8	0.0167817839721791	10	11675000	94
20220603 013941	0	0	0	1	auto	depthwise	256	0	1	0.129990379703849	0.563314900030289	10	5	0.0126366485766375	22	13037000	95
20220603 014132	0	0	0	1	auto	depthwise	256	0	1	0.165440171291155	0.817942544713349	3	2	0.0105095125372949	60	12451000	96
20220603 014210	0	0	0	1	auto	depthwise	256	0	1	0.299706933142292	0.201168720210364	5	2	0.0346491794206619	46	10547000	97
20220603 021926	0	0	0	1	auto	depthwise	256	0	1	0.0104800396206233	0.582074245878699	5	23	0.0119843295964564	150	13113000	98
20220603 024610	0	0	0	1	auto	depthwise	256	0	1	0.010459691677246	0.781457401774782	5	6	0.0110255591820536	343	12822000	99
20220603 035130	0	0	0	1	auto	depthwise	256	0	1	0.0100757524447248	0.846013138950305	4	30	0.0169453274761114	176	12543000	100
20220603 035228	0	0	0	1	auto	depthwise	256	0	1	0.299959725305888	0.242487434806581	2	2	0.0118565145220156	79	11912000	101
20220603 035335	0	0	0	1	auto	depthwise	256	0	1	0.191204370442485	0.340075212334592	10	2	0.016553895110723	84	13057000	102
20220603 035509	0	0	0	1	auto	depthwise	256	0	1	0.203332666503238	0.627393087716726	10	3	0.0142728467942854	36	12645000	103
20220603 044615	0	0	0	1	auto	depthwise	256	0	1	0.0100137207497745	0.89322973383642	10	22	0.0160146074049428	231	12904000	104
20220603 044759	0	0	0	1	auto	depthwise	256	0	1	0.109768315605043	0.548627824884204	0	2	0.00900800269756163	73	12687000	105
20220603 044906	0	0	0	1	auto	depthwise	256	0	1	0.153112199556101	0.297331676114165	8	2	0.0122505830804397	88	12919000	106
20220603 051209	0	0	0	1	auto	depthwise	256	0	1	0.010183152227283	0.999724229835286	10	2	0.0395394713704036	1137	10195000	107
20220603 051520	0	0	0	1	auto	depthwise	256	0	1	0.107330554339871	0.273372171242844	10	30	0.0144468084837872	30	12563000	108
20220603 052025	0	0	0	1	auto	depthwise	256	0	1	0.118844448094604	0.750335215102637	10	8	0.0302698262247589	52	10313000	109
20220603 052134	0	0	0	1	auto	depthwise	256	0	1	0.18607792503948	0.2179965102678	7	5	0.0167424344199909	32	12538000	110
20220603 054041	0	0	0	1	auto	depthwise	256	0	1	0.0103438591391455	0.693421171446858	1	3	0.0101691192441079	726	12480000	111
20220603 054204	0	0	0	1	auto	depthwise	256	0	1	0.106896428954341	0.381360691134228	10	2	0.00834147829784935	76	11422000	112
20220603 054404	0	0	0	1	auto	depthwise	256	0	1	0.120417526092573	0.359998827545232	3	5	0.0117057445653015	43	12495000	113
20220603 055052	0	0	0	1	auto	depthwise	256	0	1	0.0767590620540685	0.507128200893552	10	21	0.0117598108902547	56	12460000	114
20220603 063900	0	0	0	1	auto	depthwise	256	0	1	0.0101759533035931	0.797560990353639	10	30	0.0203517309350306	256	12503000	115
20220603 063948	0	0	0	1	auto	depthwise	256	0	1	0.242662018486428	0.320389238894767	10	2	0.041989154325136	27	9807000	116
20220603 064225	0	0	0	1	auto	depthwise	256	0	1	0.149966833820087	0.998010735297492	9	2	0.0162166276791584	102	12958000	117
20220603 072144	0	0	0	1	auto	depthwise	256	0	1	0.0101631903773606	0.666503426182362	10	16	0.0164904220066457	314	13167000	118
20220603 074707	0	0	0	1	auto	depthwise	256	0	1	0.0101703248415826	0.479364929496508	7	30	0.00858925702506144	40	12290000	119
20220603 074844	0	0	0	1	auto	depthwise	256	0	1	0.1193814456621	0.351071154413159	9	2	0.01684972765762	123	13488000	120
20220603 075028	0	0	0	1	auto	depthwise	256	0	1	0.127463974045615	0.352900389427427	10	2	0.0166294498338559	161	13192000	121
20220603 075304	0	0	0	1	auto	depthwise	256	0	1	0.110862405447682	0.535319096369817	9	5	0.0164112502067298	40	12928000	122
20220603 075352	0	0	0	1	auto	depthwise	256	0	1	0.229645744576737	0.200500863183431	9	2	0.0196356742882461	76	12934000	123
20220603 085732	0	0	0	1	auto	depthwise	256	0	1	0.0102438950769514	0.972135279178922	3	22	0.0139831352279161	136	12699000	124
20220603 085840	0	0	0	1	auto	depthwise	256	0	1	0.184307689916825	0.309183713637578	8	2	0.0243154038730809	74	12034000	125
20220603 085922	0	0	0	1	auto	depthwise	256	0	1	0.293291069260708	0.207530160693452	9	2	0.0169840896371267	53	12987000	126
20220603 090058	0	0	0	1	auto	depthwise	256	0	1	0.29968929432879	0.999249935517842	4	2	0.012396026326866	42	12033000	127
20220603 091033	0	0	0	1	auto	depthwise	256	0	1	0.115645208773695	0.997537184279781	10	9	0.0125573598682012	100	12726000	128
20220603 095924	0	0	0	1	auto	depthwise	256	0	1	0.0101011533805519	0.718182002531873	7	29	0.0136900352933395	200	13275000	129
20220603 104856	0	0	0	1	auto	depthwise	256	0	1	0.0101096748438768	0.988670345182813	3	9	0.016838538220785	359	12727000	130
20220603 111704	0	0	0	1	auto	depthwise	256	0	1	0.0100355699738988	0.333670059870498	5	30	0.0138579269436035	209	12881000	131
20220603 115911	0	0	0	1	auto	depthwise	256	0	1	0.0105875102653141	0.573072329167207	3	25	0.0127567251848369	154	12745000	132
