fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220601 205931	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	470	TRUE	200213	0.0100213608403038	0.978555580167905	3631	606	0.0160720496705628	13210000	55
20220601 210039	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	267	TRUE	200213	0.0100630396283275	0.757435484765444	1837	63	0.0155977137536099	13365000	56
20220601 210122	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	445	TRUE	200213	0.0197236930462811	0.777052107507587	7785	17	0.0237425221388597	12416000	57
20220601 210252	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	604	TRUE	200213	0.0101080110801962	0.224799459920869	3724	1024	0.024929322368925	11945000	58
20220601 210315	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	120	TRUE	200213	0.0599563380336024	0.395769199001942	7500	155	0.0163971984576396	13264000	59
20220601 210326	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	22	TRUE	200213	0.299152506916063	0.476651586988716	5976	1024	0.0169651403627546	12331000	60
20220601 210435	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	516	TRUE	200213	0.0103073437687367	0.716330429567305	4366	654	0.016718680143159	13227000	61
20220601 210613	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	1038	TRUE	200213	0.0100295527964891	0.848899103438851	6590	594	0.0169315293822463	12887000	62
20220601 210700	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	309	TRUE	200213	0.0143331544659314	0.724757791577191	2711	25	0.0161857127941603	13382000	63
20220601 210751	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	391	TRUE	200213	0.0126562328075361	0.733428135297316	5673	17	0.0165349704987983	13198000	64
20220601 210846	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	382	TRUE	200213	0.0140553069531199	0.756559762622012	3496	132	0.0163798985320442	13326000	65
20220601 210941	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	512	TRUE	200213	0.0265432317825289	0.211749551658299	5635	659	0.0170222011596451	12989000	66
20220601 210950	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	18	TRUE	200213	0.217686899515008	0.278538758482217	6186	16	0.0165956723419092	12717000	67
20220601 211039	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	351	TRUE	200213	0.0100720296074125	0.932088930174596	1781	16	0.00840958907150951	11726000	68
20220601 211050	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	52	TRUE	200213	0.0969747064833913	0.754816536714637	3539	16	0.0168528017705375	12822000	69
20220601 211158	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	699	TRUE	200213	0.0110219507834154	0.985374545234553	7994	1024	0.0233483365499972	12169000	70
20220601 211207	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	22	TRUE	200213	0.299825515306249	0.201821393690218	7269	622	0.0228931467362466	11773000	71
20220601 211350	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	408	TRUE	200213	0.0100084682483648	0.485493854720895	1877	637	0.0159199294117398	13421000	72
20220601 211545	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	1033	TRUE	200213	0.0100484439251304	0.232566445512297	3495	17	0.0232829424520465	12351000	73
